,Unnamed: 0,event.start,event.end,@timestamp,agent.ephemeral_id,destination.bytes,destination.ip,destination.mac,destination.packets,destination.port,event.duration,event.type,flow.final,flow.id,host.ip,host.mac,network.bytes,network.community_id,network.packets,network.transport,network.type,source.bytes,source.ip,source.mac,source.packets,source.port,Binary
809,153,62,58,3,0,0,0,0,0,112,0,0,0,36,1,1,0,37,0,0,0,0,0,0,0,280,1
810,190,68,64,1,0,0,0,0,0,118,0,0,0,57,1,1,0,20,0,0,0,0,0,0,0,239,1
811,150,61,57,6,0,0,0,0,0,111,0,1,1,117,1,1,0,84,0,0,0,0,0,0,0,277,1
812,596,153,148,29,0,1,0,0,1,114,132,0,0,137,1,1,1,29,1,0,0,0,0,0,0,393,0
813,444,130,123,13,0,0,0,0,0,2,0,0,0,105,1,1,0,59,0,0,0,0,0,0,0,52,1
814,119,53,50,2,0,0,0,0,0,103,0,0,0,11,1,1,0,1,0,0,0,0,0,0,0,506,1
815,285,88,83,6,0,0,0,0,0,138,0,1,1,44,1,1,0,24,0,0,0,0,0,0,0,420,1
816,596,153,148,29,0,1,0,0,1,177,88,0,0,137,1,1,1,29,1,0,0,0,0,0,0,413,0
817,557,143,137,22,0,0,0,0,0,0,47,0,0,122,1,1,6,90,4,0,0,5,0,0,4,24,1
818,596,153,148,29,0,1,0,0,1,371,64,0,0,137,1,1,1,29,1,0,0,0,0,0,0,154,0
819,520,138,131,13,0,0,0,0,0,10,0,0,0,143,1,1,0,10,0,0,0,0,0,0,0,378,1
820,332,98,93,8,0,0,0,0,0,148,0,0,0,125,1,1,0,17,0,0,0,0,0,0,0,20,1
821,12,12,11,0,0,0,0,0,0,62,0,1,1,9,1,1,0,26,0,0,0,0,0,0,0,356,1
822,331,98,93,5,0,0,0,0,0,148,0,0,0,125,1,1,0,17,0,0,0,0,0,0,0,20,1
823,291,90,85,4,0,0,0,0,0,140,0,0,0,22,1,1,0,118,0,0,0,0,0,0,0,77,1
824,31,31,30,0,0,0,0,0,0,81,0,0,0,34,1,1,0,12,0,0,0,0,0,0,0,219,1
825,23,23,22,0,0,0,0,0,0,73,0,1,1,63,1,1,0,124,0,0,0,0,0,0,0,6,1
826,253,80,76,4,0,0,0,0,0,130,0,0,0,46,1,1,0,142,0,0,0,0,0,0,0,144,1
827,124,54,51,1,0,0,0,0,0,104,0,0,0,80,1,1,0,152,0,0,0,0,0,0,0,439,1
828,596,153,148,29,0,1,0,0,1,400,57,0,0,137,1,1,1,29,1,0,0,0,0,0,0,444,0
829,187,67,63,1,0,0,0,0,0,117,0,0,0,145,1,1,0,89,0,0,0,0,0,0,0,147,1
830,180,66,62,3,0,0,0,0,0,116,0,0,0,35,1,1,0,69,0,0,0,0,0,0,0,300,1
831,596,153,148,29,0,1,0,0,1,99,220,0,0,137,1,1,1,29,1,0,0,0,0,0,0,0,0
832,191,68,64,3,0,0,0,0,0,118,0,0,0,57,1,1,0,20,0,0,0,0,0,0,0,239,1
833,472,132,125,12,0,0,0,0,0,4,0,0,0,10,1,1,0,82,0,0,0,0,0,0,0,435,0
834,596,153,148,29,0,1,0,0,1,178,227,0,0,137,1,1,1,29,1,0,0,0,0,0,0,27,0
