,Unnamed: 0,destination.bytes,destination.packets,event.duration,network.bytes,network.packets,source.bytes,source.packets,Binary
394,794,56,1,6460.0,132,2,74,1,0
395,794,56,1,7550.0,132,2,74,1,0
396,432,0,0,0.0,74,1,74,1,1
397,794,56,1,7720.0,132,2,74,1,0
398,442,0,0,0.0,74,1,74,1,1
399,794,56,1,6280.0,132,2,74,1,0
400,786,0,0,0.0,74,1,74,1,1
401,420,0,0,0.0,74,1,74,1,1
402,794,56,1,6350.0,132,2,74,1,0
403,794,56,1,6180.0,132,2,74,1,0
404,645,0,0,0.0,74,1,74,1,1
405,358,0,0,0.0,74,1,74,1,1
406,470,0,0,0.0,74,1,74,1,1
407,794,56,1,6330.0,132,2,74,1,0
408,794,56,1,6390.0,132,2,74,1,0
409,120,0,0,0.0,74,1,74,1,1
410,148,0,0,0.0,74,1,74,1,1
411,794,56,1,7980.0,132,2,74,1,0
412,781,0,0,0.0,74,1,74,1,1
413,277,0,0,0.0,74,1,74,1,1
414,558,0,0,0.0,74,1,74,1,1
415,794,56,1,7920.0,132,2,74,1,0
416,88,0,0,0.0,74,1,74,1,1
417,600,0,0,0.0,74,1,74,1,1
418,575,0,0,0.0,74,1,74,1,1
419,794,56,1,7650.0,132,2,74,1,0
420,388,0,0,0.0,74,1,74,1,1
421,794,56,1,7120.0,132,2,74,1,0
422,497,0,0,0.0,74,1,74,1,1
423,734,0,0,64707347900.0,518,7,518,7,1
424,794,56,1,7050.0,132,2,74,1,0
425,253,0,0,0.0,74,1,74,1,1
426,453,0,0,0.0,74,1,74,1,1
427,219,0,0,0.0,74,1,74,1,1
428,794,56,1,13780.0,132,2,74,1,0
429,775,0,0,0.0,74,1,74,1,1
430,390,0,0,0.0,74,1,74,1,1
431,794,56,1,11040.0,132,2,74,1,0
432,576,0,0,0.0,74,1,74,1,1
433,636,0,0,0.0,74,1,74,1,1
434,733,0,0,64707347900.0,518,7,518,7,1
435,794,56,1,6290.0,132,2,74,1,0
436,345,0,0,0.0,74,1,74,1,1
437,794,56,1,10060.0,132,2,74,1,0
438,720,0,0,7162778900.0,296,4,296,4,1
439,469,0,0,0.0,74,1,74,1,1
440,794,56,1,7910.0,132,2,74,1,0
441,794,56,1,6300.0,132,2,74,1,0
442,794,56,1,6640.0,132,2,74,1,0
443,229,0,0,0.0,74,1,74,1,1
444,794,56,1,8050.0,132,2,74,1,0
445,666,0,0,0.0,74,1,74,1,1
446,794,56,1,6430.0,132,2,74,1,0
447,590,0,0,0.0,74,1,74,1,1
448,794,56,1,6520.0,132,2,74,1,0
449,149,0,0,0.0,74,1,74,1,1
450,469,0,0,0.0,74,1,74,1,1
451,794,56,1,6330.0,132,2,74,1,0
452,123,0,0,0.0,74,1,74,1,1
453,724,0,0,7162778900.0,296,4,296,4,1
454,457,0,0,0.0,74,1,74,1,1
455,518,0,0,63780419600.0,518,7,518,7,1
456,572,0,0,0.0,74,1,74,1,1
457,128,0,0,1011414100.0,148,2,148,2,1
458,261,0,0,0.0,74,1,74,1,1
459,794,56,1,6400.0,132,2,74,1,0
460,663,0,0,1026257300.0,148,2,148,2,1
461,794,56,1,6480.0,132,2,74,1,0
462,416,0,0,0.0,74,1,74,1,1
463,794,56,1,6300.0,132,2,74,1,0
464,90,0,0,0.0,74,1,74,1,1
465,582,0,0,0.0,74,1,74,1,1
466,314,0,0,0.0,74,1,74,1,1
467,794,56,1,7660.0,132,2,74,1,0
468,629,0,0,0.0,74,1,74,1,0
469,558,0,0,0.0,74,1,74,1,1
470,794,56,1,8220.0,132,2,74,1,0
471,593,0,0,0.0,74,1,74,1,1
472,223,0,0,0.0,74,1,74,1,1
473,303,0,0,0.0,74,1,74,1,1
474,588,0,0,0.0,74,1,74,1,1
475,794,56,1,7150.0,132,2,74,1,0
476,361,0,0,0.0,74,1,74,1,1
477,591,0,0,0.0,74,1,74,1,1
478,791,0,0,0.0,74,1,74,1,1
479,636,0,0,0.0,74,1,74,1,1
480,600,0,0,0.0,74,1,74,1,1
481,246,0,0,0.0,74,1,74,1,1
482,794,56,1,32271.0,132,2,74,1,0
483,794,56,1,6420.0,132,2,74,1,0
484,152,0,0,0.0,74,1,74,1,1
